,English,French,Spanish
Mute,Mute,Muet,Mudo
Auto,Auto,Auto,Auto
Fast,Fast,Vite,Rápido
Log,Log,Journal,Diario
Items,Items,Articles,Artículos
Hide,Hide,Cacher,Esconder
Next,Next,Prochain,Siguiente
Resume,Resume,Résumer,Continuar
Save,Save Game,Sauvegarder,Salvar
ToMenu,To Menu, Aller au menu, Al Menú
Quit,Quit,Dejar,Quitter
Sound,Sound,Sonner,Sonar
MasterVolume,Master Volume,Master Volume,Volumen Principal
VoiceVolume,Voice Volume,Volume Voix,Volumen de Voz
MusicVolume,Music Volume,Volume de la Musique,Volumen de la música
EffectsVolume,Effects Volume,Volume des Effets,Volumen de los Efectos
Text,Text,Texte,Texto
TextSpeed,Text Speed,Vitesse de Texte,La Velocidad de Texto
AutosizeText,Autosize Text,Texte Autosize,Texto de Tamaño Automático
TextSize,Text Size,Taille du Texte,Tamaño del Texto
Font,Font,Font,Fuente
Language,Language,Langue,Idioma
AutosizeHelp,"If checked text will automatically be sized. If unchecked choose your own text size below.","Si elle est cochée le texte sera automatiquement redimensionnée. Si elle est désactivée, choisissez votre propre taille du texte ci-dessous.","Si se activa automáticamente se cambiará el tamaño de texto. Si no se controla elegir su propio tamaño del texto a continuación."
Claire,Claire,Mme. Claire,Ms. Claire
